Model,Name,Odometer,VIN,BidType,Ammount,BuyerName
,,,,SOLD,"$14,300","PRECISION FLEET SERVIC..."
2012,"HYUNDAI GENESIS V8 5.0L",60092,KMHGC4DH4CU169475,,,
,,,,SOLD,"$17,500","MOMENTUM CHRYSLER DODGE JEEP RAM"
2013,"HYUNDAI SONATA GLS",28788,5NPEB4AC7DH639257,,,
,,,,Bid,"$10,800","HONDA OF STEVENS CREEK"
,,,,Bid,"$11,900","OAKLAND MITSUBISHI"
,,,,SOLD,"$11,900","OAKLAND MITSUBISHI"
2013,"HYUNDAI SANTA FE FWD 4C SPORT",74936,5XYZW3LA9DG010716,,,
,,,,Bid,"$15,600","MAZDA VACAVILLE"
,,,,SOLD,"$15,500","HERTZ CAR SALES"
2014,"HYUNDAI ACCENT GLS",38707,KMHCT4AEXEU612191,,,
,,,,Bid,"$8,500","DRIVETIME"
,,,,IF Sale,"$8,500","DRIVETIME"
2007,"CHEVROLET IMPALA V6 LS",168747,2G1WB55K879398174,,,
,,,,Bid,"$300","MCHENRY AUTO MART"
,,,,IF Sale,"$1,200","AUTO EXPRESS SALES"
2010,"DODGE CHARGER 4X2 V6 SXT",163804,2B3CA3CV1AH108385,,,
,,,,Bid,"$1,300","VICKS AUTO SALES"
,,,,Bid,"$1,200","PREMIER REMARKETING"
,,,,IF Sale,"$300","MCHENRY AUTO MART"
2006,"CHEVROLET EQUINOX FWD LT",138684,2CNDL63F466154590,,,
,,,,Bid,"$1,100","ROYAL MOTOR"
,,,,IF Sale,"$1,100","ROYAL MOTOR"
2005,"FORD EXPLORER 4X4 V6 XLT",136469,1FMZU73EX5UC04988,,,
,,,,IF Sale,"$600","AUTO EXPRESS SALES"
2006,"MERCEDES R350",108271,4JGCB65E06A019225,,,
,,,,Bid,"$2,500","ELEGANT AUTO SALES INC"
,,,,Bid,"$2,400","VICKS AUTO SALES"
,,,,IF Sale,"$2,500","ELEGANT AUTO SALES INC"
2012,"NISSAN VERSA S",57793,3N1BC1CP9CK230067,,,
,,,,IF Sale,"$1,300","VICKS AUTO SALES"
2013,"NISSAN SENTRA SV",62957,3N1AB7AP0DL664135,,,
,,,,Bid,"$2,900","ELITE AUTO CENTER"
,,,,Bid,"$1,700","VICKS AUTO SALES"
,,,,Bid,"$2,800","SAC CITY MOTORS"
,,,,Bid,"$1,900","VALE AUTOSALES LLC"
,,,,IF Sale,"$2,900","ELITE AUTO CENTER"
2012,"NISSAN VERSA SV",50988,3N1CN7AP1CL844352,,,
,,,,IF Sale,"$1,700","CALIFORNIA AUTO SALES"
2015,"NISSAN ALTIMA 4C 2.5 S",1,1N4AL3AP2FC276072,,,
,,,,Bid,"$1,000","VICKS AUTO SALES"
,,,,Bid,"$800","AUTOSTAR"
,,,,IF Sale,"$1,000","VICKS AUTO SALES"
2005,"MAZDA MAZDA3 S",125918,JM1BK343251291949,,,
,,,,Bid,"$1,100","VALE AUTOSALES LLC"
,,,,Bid,"$1,000","MCHENRY AUTO MART"
,,,,IF Sale,"$1,100","VALE AUTOSALES LLC"
2001,"GMC 1500 SIERRA 4X2 SL",1,1GTEC14V81E339747,,,
,,,,Bid,"$300","ROYAL MOTOR"
,,,,SOLD,"$250","PICK N PULL DISMANTLERS"
2015,"NISSAN VERSA NOTE SV",28598,3N1CE2CP4FL375620,,,
,,,,Bid,"$4,200","EAST COUNTY FLEET LEASE"
,,,,SOLD,"$4,200","EAST COUNTY FLEET LEASE"
2014,"CHRYSLER 200 4C LX",39341,1C3CCBAB6EN205613,,,
,,,,Bid,"$4,900","EAST COUNTY FLEET LEASE"
,,,,Bid,"$4,800","HOLLYWOOD CUSTOMS CORP"
,,,,SOLD,"$4,800","HOLLYWOOD CUSTOMS CORP"
2015,"CHRYSLER TOWN & COUNTRY TOURING",13147,2C4RC1BG6FR726233,,,
,,,,Bid,"$7,900","HOLLYWOOD CUSTOMS CORP"
,,,,Bid,"$8,000","A RIGHT CAR"
,,,,SOLD,"$7,900","HOLLYWOOD CUSTOMS CORP"
2002,"TOYOTA TUNDRA 4X2 RG",198442,5TBJN32142S249116,,,
,,,,Bid,"$900","1169  HYBRID 4 U"
,,,,Bid,"$1,000","ROYAL MOTOR"
,,,,IF Sale,"$1,000","ROYAL MOTOR"
2015,"HYUNDAI VELOSTER",20069,KMHTC6AD4FU227679,,,
,,,,SOLD,"$8,000","AUTO SHOPPER AMERICA"
2015,"NISSAN VERSA NOTE SV",24965,3N1CE2CP5FL422475,,,
,,,,SOLD,"$4,800","BAJA SALES"
2015,"VOLKSWAGEN JETTA 1.8T SE",28484,3VWD17AJ0FM351895,,,
,,,,IF Sale,"$6,700","CITY AUTO"
2015,"HYUNDAI SONATA 2.4L SE",29261,5NPE24AF8FH124992,,,
,,,,SOLD,"$7,700","THREE BROTHERS AUTO SALES"
2016,"BUICK ENCLAVE AWD LEATHER",7410,5GAKVBKD6GJ182637,,,
,,,,SOLD,"$25,500","LANGS"
2015,"CHEVROLET MALIBU LT",16346,1G11C5SL0FU149518,,,
,,,,SOLD,"$9,800","CITY AUTO"
2015,"FORD MUSTANG 4C CNV ECO PREM",36888,1FATP8UH5F5364147,,,
,,,,Bid,"$16,000","IMZ CORP"
,,,,SOLD,"$16,000","IMZ CORP"
2015,"VOLKSWAGEN JETTA 1.8T SE",26229,3VWD17AJ0FM284635,,,
,,,,Bid,"$3,500","INFINITY MOTORS LLC"
,,,,Bid,"$3,200","WORLDWIDE AUTO INC"
,,,,SOLD,"$3,500","INFINITY MOTORS LLC"
2014,"HYUNDAI SONATA GLS",42117,5NPEB4AC6EH839970,,,
,,,,Bid,"$4,600","UNIVERSAL AUTO DEALER"
,,,,Bid,"$4,700","MILLENNIUM AUTO SALES INC"
,,,,Bid,"$5,800","EAST COUNTY FLEET LEASE"
,,,,Bid,"$5,100","BEST AUTO LLC"
,,,,SOLD,"$5,800","EAST COUNTY FLEET LEASE"
2015,"FORD F150 4X4 CR XLT",1222,1FTEW1EG1FKD29593,,,
,,,,Bid,"$17,600","A RIGHT CAR"
,,,,Bid,"$17,250","INFINITY MOTORS LLC"
,,,,SOLD,"$17,600","A RIGHT CAR"
2015,"NISSAN ALTIMA 4C 2.5 S",8869,1N4AL3AP5FC466996,,,
,,,,Bid,"$10,300","T A C"
,,,,Bid,"$9,700","SAC CITY MOTORS"
,,,,SOLD,"$10,300","T A C"
2015,"TOYOTA COROLLA LE",25079,5YFBURHE2FP244989,,,
,,,,SOLD,"$8,100","ZW AUTO SALES"
2015,"FORD MUSTANG 4C CNV ECO PREM",24711,1FATP8UH3F5364146,,,
,,,,Bid,"$15,200","A RIGHT CAR"
,,,,Bid,"$15,300","IMZ CORP"
,,,,Bid,"$15,000","T A C"
,,,,IF Sale,"$15,300","IMZ CORP"
2015,"FIAT 500 POP",22708,3C3CFFAR2FT623969,,,
,,,,SOLD,"$6,000","ROYAL MOTORS WHOLESALE"
2002,"FORD F250 4X4 CR XL",233985,1FTNW21L72EA08174,,,
